	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description	assay	source	group
2207	ENCFF032JOU	path/to/data/ENCFF032JOU.w5	128	32	2.0	mean	2207	CHIP:H3K36me3:mammary epithelial cell female adult (50 years)	chip	encode	H3K36me3
2208	ENCFF109QAV	path/to/data/ENCFF109QAV.w5	128	32	2.0	mean	2208	CHIP:H3K4me2:HepG2	chip	encode	H3K4me2
2209	ENCFF053ROV	path/to/data/ENCFF053ROV.w5	128	32	2.0	mean	2209	CHIP:H3K9ac:HepG2	chip	encode	H3K9ac
2210	ENCFF520THR	path/to/data/ENCFF520THR.w5	128	32	2.0	mean	2210	CHIP:CTCF:H1-hESC	chip	encode	CTCF
2211	ENCFF649FRQ	path/to/data/ENCFF649FRQ.w5	128	32	2.0	mean	2211	CHIP:H3K4me1:mammary epithelial cell female adult (50 years)	chip	encode	H3K4me1
2212	ENCFF458AJQ	path/to/data/ENCFF458AJQ.w5	128	32	2.0	mean	2212	CHIP:H3K4me2:mammary epithelial cell female adult (50 years)	chip	encode	H3K4me2
2213	ENCFF277MXO	path/to/data/ENCFF277MXO.w5	128	32	2.0	mean	2213	CHIP:H3K4me3:mammary epithelial cell female adult (50 years)	chip	encode	H3K4me3
2214	ENCFF991CBZ	path/to/data/ENCFF991CBZ.w5	128	32	2.0	mean	2214	CHIP:H4K20me1:mammary epithelial cell female adult (50 years)	chip	encode	H4K20me1
2215	ENCFF746CXV	path/to/data/ENCFF746CXV.w5	128	32	2.0	mean	2215	CHIP:H3K4me3:HepG2	chip	encode	H3K4me3
2216	ENCFF554JDF	path/to/data/ENCFF554JDF.w5	128	32	2.0	mean	2216	CHIP:H4K20me1:HepG2	chip	encode	H4K20me1
2217	ENCFF637KNN	path/to/data/ENCFF637KNN.w5	128	32	2.0	mean	2217	CHIP:H3K27ac:fibroblast of lung female child (11 year) and male adult (45 years)	chip	encode	H3K27ac
2218	ENCFF590JWS	path/to/data/ENCFF590JWS.w5	128	32	2.0	mean	2218	CHIP:H3K27me3:fibroblast of lung female child (11 year) and male adult (45 years)	chip	encode	H3K27me3
